plant stem or spear vegetable food product,FOODON_00002156,Stem Vegetable,,,,plant stem or spear vegetable food product,FOODON_00002156,Stem Vegetable,Vegetable Row Crops Flower,,,,
plant stem food product,FOODON_00001175,Vegetable Row Crops Flower,,,,plant stem food product,FOODON_00001175,Vegetable Row Crops Flower,Swine,,,,
sus scrofa,NCBITaxon_9823 ,Swine,,,,sus scrofa,NCBITaxon_9823 ,Swine,Feed,,,,
food product for animal,FOODON_03309997,Animal Feed,,,,food product for animal,FOODON_03309997,Animal Feed,Fish,,,,
"fish, siluriform",FOODON_03411598,Siluriformes,,,,"fish, siluriform",FOODON_03411598,Siluriformes,,,,,
fish (food source),FOODON_03411222,Fish,,,,fish (food source),FOODON_03411222,Fish,,,,,
shellfish (food source),FOODON_03411433,Shellfish,,,,shellfish (food source),FOODON_03411433,Shellfish,,,,,
fish food product,FOODON_00001248,Fish,,,,fish food product,FOODON_00001248,Fish,Shellfish,,,,
dairy food product,FOODON_00001256,Dairy,,,,dairy food product,FOODON_00001256,Dairy,Dairy,,,,
egg food product,FOODON_00001274,Eggs,,,,egg food product,FOODON_00001274,Eggs,Eggs,,,,
avian food product,FOODON_00001251,Poultry,,,,avian food product,FOODON_00001251,Poultry,,,,,
meat food product,FOODON_00001006,Meat,,,,meat food product,FOODON_00001006,Meat,Meat,,,,
restaurant,ENVO_01000934,,,,,restaurant,ENVO_01000934,,(Non-IFSAC) Environmental - Restaurant,,,,
shop,ENVO_00002221,,,,,shop,ENVO_00002221,,(Non-IFSAC) Environmental - Store,,,,
warehouse,ENVO_00003963,,,,,warehouse,ENVO_00003963,,(Non-IFSAC) Environmental - Warehouse,,,,
factory,ENVO_01000536,(Non-IFSAC) Environmental - Factory,,,,factory,ENVO_01000536,(Non-IFSAC) Environmental - Factory,,,,,
abattoir,ENVO_01000925,(Non-IFSAC) Environmental - Abattoir,,,,abattoir,ENVO_01000925,(Non-IFSAC) Environmental - Abattoir,,,,,
research facility,ENVO_00000469,(Non-IFSAC) Environmental - Research Facility,,,,research facility,ENVO_00000469,(Non-IFSAC) Environmental - Research Facility,,,,,
pasture,ENVO_00000266,(Non-IFSAC) Environmental - Pasture,,,,pasture,ENVO_00000266,(Non-IFSAC) Environmental - Pasture,,,,,
farm,ENVO_00000078,(Non-IFSAC) Environmental - Farm,,,,farm,ENVO_00000078,(Non-IFSAC) Environmental - Farm,,,,,
fresh water,ENVO_00002011,(Non-IFSAC) Environmental-Water,,,,fresh water,ENVO_00002011,(Non-IFSAC) Environmental-Water,,,,,
water,CHEBI_15377,(Non-IFSAC) Environmental-Water,,,,water,CHEBI_15377,(Non-IFSAC) Environmental-Water,,,,,
chemical entity,CHEBI_24431,(Non-IFSAC) Clinical- Chemical Entity,,,,chemical entity,CHEBI_24431,(Non-IFSAC) Clinical- Chemical Entity,,,,,
