Ontology ID,IFSAC Label,Bucket,,,,,Ontology ID,IFSAC Label,Bucket,,IFSAC Label,,,,,,
FOODON_00002368,root/underground (tubers),yam food product,,,,,FOODON_00002368,root/underground (tubers),yam food product,,root/underground (tubers),,,,,,
FOODON_00002310,root/underground (other),taro food product,,,,,FOODON_00002310,root/underground (other),taro food product,,root/underground (other),,,,,,
FOODON_00002150,root/underground,plant root vegetable food product,,,,,FOODON_00002150,root/underground,plant root vegetable food product,,root/underground,,,,,,
FOODON_03317076,root/underground (roots),root vegetable product,,,,,FOODON_03317076,Root Vegetables,root vegetable product,,Root Vegetables,,,,,,
FOODON_00001771,Dairy,cow milk based food product,,,,,FOODON_00001771,Dairy,cow milk based food product,,Dairy,,,,,,
FOODON_03301484,Fluid Milk,skim milk (food product),,,,,FOODON_03301484,Fluid milk,skim milk (food product),,Fluid milk,,,,,,
FOODON_03306581,Fluid Milk,whole milk (food product),,,,,FOODON_03306581,Fluid milk,whole milk (food product),,Fluid milk,,,,,,
FOODON_00002252,Dairy,soft cheese food product,,,,,FOODON_00002252,Solid/Semisolid Dairy Products,soft cheese food product,,Solid/semisolid dairy products,,Clinical-Chemical Entity,,,,
FOODON_00001945,Dairy,hard cheese food product,,,,,FOODON_00001945,Solid/Semisolid Dairy Products,hard cheese food product,,Solid/semisolid dairy products,,,,,,
FOODON_00002200,Wild Animals,amphibian or reptile food product,,Other Animal-Wild Animal,,,FOODON_00002200,Other Animal-Wild Animal,amphibian or reptile food product,,Other Animal ,,,,,,
FOODON_00001678,Cow,calf meat food product,,,,,FOODON_00001678,Calf,calf meat food product,,Calf,,,,,,
FOODON_03411625 ,Wild Animals,reptile (food source),,Other Animal-Wild Animal,,,FOODON_03411625 ,Other Animal-Wild Animal,reptile (food source),,Other Animal ,,,,,,
ENVO_00002011,Environmental-Water,fresh water,,,,,ENVO_00002011,Environmental-Water,fresh water,,Environmental-Water,,,,,,
CHEBI_15377,Environmental-Water,water,,,,,CHEBI_15377,Environmental-Water,water,,Environmental-Water,,,,,,
ENVO_00000078 ,Environmental-Farm,farm,,,,,ENVO_00000078 ,Environmental-Farm,farm,,Environmental-Farm,,,,,,
FOODON_03411237,Crustaceans,shrimp (food source),,,,,FOODON_03411237,Crustaceans,shrimp (food source),,Crustaceans,,,,,,
FOODON_03411598  ,Siluriformes,"fish, siluriform",,,,,FOODON_03411598  ,Siluriformes,"fish, siluriform",,Siluriformes,,,,,,
FOODON_00001093 ,Grains,cereal grain food product,,,,,FOODON_00001093 ,Grains,cereal grain food product,,Grains,,,,,,
FOODON_00001242,Herbs,spice or herb,,,,,FOODON_00001242,Herbs,spice or herb,,Herbs,,,,,,
ENVO_01000934 ,Environmental-Restaurant,restaurant,,,,,ENVO_01000934 ,Environmental-Restaurant,restaurant,,Environmental - Restaurant,,,,,,
ENVO_00002221,Environmental-Store,shop,,,,,ENVO_00002221,Environmental-Store,shop,,Environmental - Store,,,,,,
ENVO_00003963,Environmental-Warehouse,warehouse,,,,,ENVO_00003963,Environmental-Warehouse,warehouse,,Environmental - Warehouse,,,,,,
ENVO_01000536,Environmental-Factory,factory,,,,,ENVO_01000536,Environmental-Factory,factory,,Environmental - Factory,,,,,,
ENVO_01000925,Environmental-Abattoir,abattoir,,,,,ENVO_01000925,Environmental-Abattoir,abattoir,,Environmental - Abattoir,,,,,,
ENVO_00000469,Environmental-ResearchFacility,research facility,,,,,ENVO_00000469,Environmental-ResearchFacility,research facility,,Environmental - Research Facility,,,,,,
ENVO_00000266,Environmental-Pasture,pasture,,,,,ENVO_00000266,Environmental-Pasture,pasture,,Environmental - Pasture,,,,,,
ENVO_00000078 ,Environmental-Farm,farm,,,,,ENVO_00000078 ,Environmental-Farm,farm,,Environmental - Farm,,,,,,
ENVO_00002011,Environmental-Water,fresh water,,,,,ENVO_00002011,Environmental-Water,fresh water,,Environmental-Water,,,,,,
CHEBI_15377,Environmental-Water,water,,,,,CHEBI_15377,Environmental-Water,water,,Environmental-Water,(Non-IFSAC) Food Material,food material,,,,
PATO_0000047,Biological Sex,biological sex,,,,,PATO_0000047,Biological Sex,biological sex,,Biological Sex,(Non-IFSAC) Food Material,food material (vide food product type),,,,
CHEBI_24431,Clinical/Research,chemical entity,,,,,CHEBI_24431,Clinical,chemical entity,,Clinical- Chemical Entity,,,,,,
ENVO_00000070 ,Environmental-Factory/Production Facility/Abattoir,construction,,,,,ENVO_00000070 ,Environmental-Construction,construction,,Environmental - Construction,,,,,,
ENVO_00002297,Environmental,environmental feature,,,,,ENVO_00002297,Clinical-Anatomical,environmental feature,,Clinical- Environmental Feature,,,,,,
FOODON_00002147,Food,food product by consumer group,,,,,FOODON_00002147,FoodProduct-ByConsumerGroup,food product by consumer group,,Food Product - By Consumer Group,,,,,,
NCBITaxon_9913,Cow,bos tuarus,,,,,,,,,,,,,,,
UBERON_0001062,Clinical/Research,anatomical entity,,,,,UBERON_0001062,Clinical-Anatomical,anatomical entity,,Clinical-Anatomical Entity,,,,,,
OBI_0100026,Organism,organism,,,,,OBI_0100026,Organism,organism,,Organism,,,,,,
ENVO_00010483,Environmental,environmental material,,,,,ENVO_00010483,Environmental,environmental material,,Clinical,,,,,,
UBERON_0000463,Clinical/Research,organism substance,,,,,UBERON_0000463,Clinical-Anatomical,organism substance,,Clinical,,,,,,
