Term,Expansion,,Expansion,,Abbreviation,HP_0045077,abbreviation,,,,,,
hackles,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
haemorrhoids,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
hand,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
handlebar moustache,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
hangnail,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
hindbrain,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
hindlimb,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
hip joint,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
hippocampus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
hoof,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
humerus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
hymen,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
hypothalamus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
id,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
ileum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
incisor,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
index finger,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
inner ear,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
inseam,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
intestine,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
jacksie,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
jawbone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
jejunum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
jism,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
joint,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
jowl,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
jugular,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
killer cell,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
kneecap,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
knock knees,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
lantern jaw,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
lazy eye,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
left brain,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
leucocyte,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
ligament,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
limbic system,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
little finger,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
lop ears,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
love bite,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
love handles,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
lughole,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
lung,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
lymphnode,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
lymphocyte,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
macrophage,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
marrowbone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
maxilla,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
