Term,Expansion,,Expansion,,Abbreviation,HP_0045077,abbreviation,,,,,,
bowling alley,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
box room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
brasserie,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
breakwater,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
breezeway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Broadmoor,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Broadway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
brothel,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
brownstone,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
bulkhead,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
bullring,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
bunk,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
bunkhouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
bureau de change,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
burial ground,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
burrow,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
bus lane,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
bus stop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
byre,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
byroad,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cafeteria,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
caff,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
calfshed,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
call centre,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
campus,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
car park,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
carport,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
carrel,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
carriage house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cart track,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
carvery,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
casbah,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cash bar,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
casino,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
castellations,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
catacombs,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cathedral,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
causeway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cavity wall,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cemetery,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cenotaph,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cervix,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chain store,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chamber of horrors,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chancel,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
changing room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chantry,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chapel of rest,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chapter house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
charity shop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chateau,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
checkroom,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chicken run,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chimney breast,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chip shop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
chowk,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
churchyard,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cirque,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
citadel,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
classroom,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
clay court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
clearway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
clerestory,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
climbing wall,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
clip joint,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
co op,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
coach house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
coaching inn,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
coalfield,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
coalhouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
coat check,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
coatroom,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
coffee shop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cold store,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
collective farm,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
comfort station,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
common room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
concentration camp,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
concourse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
condemned cell,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
conservation area,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
consignment store,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Constitutional Court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
consulate,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
consulting room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
control tower,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
conurbation,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
convenience store,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cookhouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cookshop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cooling tower,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cop shop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
copyright library,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
corn circle,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
corn exchange,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
corner shop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cornfield,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
corral,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cottage hospital,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
council chamber,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
council estate,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
council house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
country club,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
country house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
country seat,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
county court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
court of claims,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
court of law,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Court of Session,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
courtroom,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cowshed,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
crematorium,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
croft,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cromlech,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
crop circle,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cross bencher,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cross street,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
crosswalk,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Crown Court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
crush bar,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
crypt,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cubicle,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cul de sac,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
culvert,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cupola,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
curbside,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cutting room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cwm,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cybercafe,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
cycle lane,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dacha,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dado,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dance floor,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dance hall,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
darkroom,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
day room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
death row,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
death trap,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
deckhouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
defile,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
deli,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
delicatessen,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
department store,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
des res,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
development area,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
digs,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dime store,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dinette,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dining room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dinner theater,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dirt road,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
discotheque,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
discounter,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
disorderly house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
disrepair,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
district court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
ditch,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
divided highway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
division lobby,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dockside,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dockyard,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dollhouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
doll's house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dolphinarium,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dome tent,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
double room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dovecote,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
downstairs,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
draining board,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
drawbridge,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
drawing room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
driveway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
drop zone,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
drugstore,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dry cleaner's,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dry dock,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
drystone wall,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dual carriageway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dude ranch,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dungeon,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Dutch barn,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
duty free shop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dwelling,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
dwelling house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
earthwork,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
East End,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Eden,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
edge city,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
edifice,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
edit suite,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
efficiency apartment,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
emergency room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
encampment,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
end zone,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
enterprise zone,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
entrance hall,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
entrepÃŽt,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
environs,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
exclusion zone,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
expressway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
factory farm,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
factory shop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
farm belt,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
farmhouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
farmstead,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
farmyard,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
fast breeder,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
fast lane,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
favela,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
fenland,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
field hospital,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
field of fire,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
fire station,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
fire trap,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
firehouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
fireside,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
fitting room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
five and dime,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
flarepath,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
flatlet,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
flea market,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
fleapit,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Fleet Street,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
fleshpots,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
floor,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
flying buttress,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
footbridge,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
frame tent,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
free house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
free port,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
freeway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
friary,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
front line,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
frontage road,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
funicular,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
funny farm,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
G spot,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
gable,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
gaol,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Garden of Eden,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
garret,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
gas chamber,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
gastropub,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
gated community,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
gatehouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
gazebo,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
general headquarters,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
general store,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
GHQ,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
gift shop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
goalmouth,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
godown,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
God's country,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
goldfield,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
golf course,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
golf links,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
granary,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
grange,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
granny flat,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
grass court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
greasy spoon,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
green room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
greenhouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
ground floor,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
groyne,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
guardhouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
guardroom,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
guest room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
guideway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
guildhall,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
gurdwara,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
gymnasium,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hacienda,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
half bath,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hall of residence,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hangar,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
harbour,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hard court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Harley Street,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hatchery,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hayloft,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
health centre,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
health club,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
heel bar,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
helipad,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
high street,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
home unit,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hospice,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hospital,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hostelry,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
house of God,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
housing estate,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
housing project,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hovel,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
humpback bridge,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hut,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hyperbaric chamber,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
hypermarket,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
ice house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
igloo,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
in goal area,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
in law apartment,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
incident room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
industrial estate,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
industrial tribunal,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
infield,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
interstate,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
jail,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
jailhouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
jetway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
jobcentre,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
junior common room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
juvenile court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Kaaba,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
kangaroo court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
kasbah,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
kennel,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
kitchen,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
kitchen garden,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
kitchenette,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
knocking shop,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lab,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
laboratory,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
land office,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
land registry,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
language laboratory,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lapa,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
law court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lean to,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lecture theatre,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
leisure centre,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lending library,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Library of Congress,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
links,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
liquor store,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
building,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
door,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
window,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
listed building,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
living room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
locker room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lodging house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
log cabin,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
loggia,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
loose box,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lounge bar,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
love nest,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lumberyard,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lunatic asylum,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lunch home,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
luncheonette,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
lunchroom,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
magnetic field,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
main drag,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
main line,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
maisonette,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
mall,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
malthouse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
manÃšge,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
mandir,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
manse,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
marina,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
market garden,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
masonry,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
mausoleum,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
meadow,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
medical hall,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
meeting house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
meeting place,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
megastore,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
men's room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
mews,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
mews house,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
Middle East,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
minimart,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
minimum security prison,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
minster,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
model home,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
monastery,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
moot court,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
morning room,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
mosque,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
motel,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
mother in law apartment,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
motor lodge,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
motor park,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
motorway,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
motte and bailey castle,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
movie theater,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
multi storey car park,Structure-OR-Area,,Structure-OR-Area,,,,,,,,,,
