Synonym,Standard Term,Term Id,Synonyms Type
sea bob shrimp,Xiphopenaeus kroyeri,NCBITaxon_133890,Exact Synonym
carpenter ants,Camponotus,NCBITaxon_13390,Exact Synonym
ilang-ilang,Cananga odorata,NCBITaxon_13393,Exact Synonym
white shark,Carcharodon carcharias,NCBITaxon_13397,Exact Synonym
great white shark,Carcharodon carcharias,NCBITaxon_13397,Exact Synonym
American chestnut,Castanea dentata,NCBITaxon_134033,Exact Synonym
witloof,Cichorium intybus,NCBITaxon_13427,Exact Synonym
succory,Cichorium intybus,NCBITaxon_13427,Exact Synonym
radicchio,Cichorium intybus,NCBITaxon_13427,Exact Synonym
chicory,Cichorium intybus,NCBITaxon_13427,Exact Synonym
oyster drill,Stramonita haemastoma,NCBITaxon_134471,Exact Synonym
Florida rocksnail,Stramonita haemastoma,NCBITaxon_134471,Exact Synonym
hazelnuts,Corylus,NCBITaxon_13450,Exact Synonym
European hazelnut,Corylus avellana,NCBITaxon_13451,Exact Synonym
blue honeysuckle,Lonicera caerulea,NCBITaxon_134520,Exact Synonym
slickheads,Alepocephalidae,NCBITaxon_134615,Exact Synonym
Baird's smooth-head,Alepocephalus bairdii,NCBITaxon_134618,Exact Synonym
Dianella,Dianella <angiosperm>,NCBITaxon_13484,Exact Synonym
European seabass,Dicentrarchus labrax,NCBITaxon_13489,Exact Synonym
European sea bass,Dicentrarchus labrax,NCBITaxon_13489,Exact Synonym
possum apple,Diospyros virginiana,NCBITaxon_13493,Exact Synonym
American persimmon,Diospyros virginiana,NCBITaxon_13493,Exact Synonym
Pacific geoduck,Panopea abrupta,NCBITaxon_134997,Exact Synonym
English gooseberry,Ribes uva-crispa,NCBITaxon_135518,Exact Synonym
sailfishes,Istiophorus,NCBITaxon_13574,Exact Synonym
Indo-Pacific sailfish,Istiophorus platypterus,NCBITaxon_13575,Exact Synonym
Murray cod,Maccullochella peelii,NCBITaxon_135761,Exact Synonym
golden perch,Macquaria ambigua,NCBITaxon_135764,Exact Synonym
