Bucket,Ontology ID,IFSAC class,,,,,,,,
labeo rohita,NCBITaxon_84645,fish,,,,,,,,
lama glama,NCBITaxon_9844,other animal,,,,,,,,
laridae,NCBITaxon_8910,other animal,,,,,,,,
lepus,NCBITaxon_9980,other animal,,,,,,,,
leucophaeus pipixcan,NCBITaxon_690715,other animal,,,,,,,,
listeria,NCBITaxon_1637,other animal,,,,,,,,
macaca nigra,NCBITaxon_54600,other animal,,,,,,,,
macadamia,NCBITaxon_4329,plant,,,,,,,,
macropus,NCBITaxon_9312,other animal,,,,,,,,
malus domestica,NCBITaxon_3750,pome fruit,,,,,,,,
mercenaria,NCBITaxon_6595,mollusks (bi-valve),,,,,,,,
merluccius,NCBITaxon_8062,fish,,,,,,,,
mugil,NCBITaxon_8190,fish,,,,,,,,
mus musculus,NCBITaxon_10090,other animal,,,,,,,,
musca domestica,NCBITaxon_7370,other animal,,,,,,Hybrid Tilapia,,
mustela putorius,NCBITaxon_9668,other animal,,,,,,tinfoil barb fish (PUNTIUS ALTUS),,
mustelidae,NCBITaxon_9655,other animal,,,,,,Yellowfin tuna  (Thunnus albacares),,
myristica,NCBITaxon_51088,herb,,,,,,Fish in the family Leiognathidae,,
naso,NCBITaxon_75027,other animal,,,,,,FROZEN PANGASIUS FISH,,
neovison vison,NCBITaxon_452646,other animal,,American mink,,,,batashi fish,,
odocoileus hemionus,NCBITaxon_9872,other animal,,Mule deer,,,,NON-ICTALURUS FISH,,
odocoileus virginianus,NCBITaxon_9874,other animal,,white tailed deer,,,,frozen pangasius fish,,
oncorhynchus kisutch,NCBITaxon_8019,fish,,,,,,butterfly fish,,
oncorhynchus mykiss,NCBITaxon_8022,fish,,,,,,bata (Mugil parsia) fish,,
origanum,NCBITaxon_39174,herb,,,,,,,,
oryctolagus cuniculus,NCBITaxon_9986,other animal,,European rabbit,,,,,,
oryx,NCBITaxon_9957,other animal,,,,,,,,
ovis,NCBITaxon_9935,other animal,,,,,,,,
ovis aries,NCBITaxon_9940,other animal,,,,,,,,
pachypterus atherinoides,NCBITaxon_1227137,fish,,,,,,,,
pangasius,NCBITaxon_8000,fish,,,,,,,,
panthera uncia,NCBITaxon_29064,other animal,,snow leapard,,,,,,
pecari,NCBITaxon_35609,pig,,pig,,,,,,
phasianus colchicus,NCBITaxon_9054,other animal,,ring-necked pheasant,,,,,,
piper sanctum,NCBITaxon_511552,herb,,mexican pepperleaf,,,,,,
pogona vitticeps,NCBITaxon_103695,wild animal,,central bearded dragon,,,,,,
primates,NCBITaxon_9443,other animal,,primate,,,,,,
psittacus erithacus,NCBITaxon_57247,other animal,,grey parrot,,,,,,
puma concolor,NCBITaxon_9696,other animal,,cougar,,,,,,
puntius,NCBITaxon_27707,fish,,fish,,,,,,
python,NCBITaxon_37579,other animal,,python,,,,,,
pythonidae,NCBITaxon_34984,other animal,,python family,,,,,,
rattus,NCBITaxon_10114,other animal,,rat,,,,,,
rhea americana,NCBITaxon_8797,other animal,,greater rhea,,,,,,
rheum,NCBITaxon_3620,clinical/research,,nose fluid,,,,,,
rodentia,NCBITaxon_9989,other animal,,rodent,,,,,,
rosa,NCBITaxon_3764,vegetable row crops (flower),,rose,,,,,,
rubiaceae,NCBITaxon_24966,vegetable row crops (flower),,maddar,,,,,,
rucervus duvaucelii,NCBITaxon_43328,other animal,,barasingha,,,,,,
saiga,NCBITaxon_34874,other animal,,saiga antelope,,,,,,
salmonella,NCBITaxon_590,other animal,,rod-shaped Gram-negative bacteria,,,,,,
scophthalmus maximus,NCBITaxon_52904,fish,,,,,,,,
senna,NCBITaxon_53922,vegetable row crops (flower),,flowering plant,,,,,,
serpentes,NCBITaxon_8570,other animal,,snake,,,,,,
sirenia,NCBITaxon_9774,other aquatic animals,,sea cow,,,,,,
spheniscus humboldti,NCBITaxon_9240,other animal,,humboldt penguin,,,,,,
sternotherus odoratus,NCBITaxon_142480,other animal,,common musk turtle,,,,,,
strigiformes,NCBITaxon_30458,other animal,,owl,,,,,,
struthio camelus,NCBITaxon_8801,other animal,,common ostrich,,,,,,
syncerus caffer,NCBITaxon_9970,cow,,African buffalo,,,,,,
tamandua mexicana,NCBITaxon_9351,other animal,,Northern tamandua,,,,,,
tenualosa ilisha,NCBITaxon_373995,fish,,,,,,,,
thunnus,NCBITaxon_8234,fish,,,,,,,,
thunnus alalunga,NCBITaxon_8235,fish,,,,,,,,
trachemys callirostris,NCBITaxon_365651,other animal,,turtle,,,,,,
tragelaphus spekii,NCBITaxon_69298,other animal,,sitatunga (swamp-dwelling antelope),,,,,,
ursus americanus,NCBITaxon_9643,other animal,,American black bear,,,,,,
vanilla,NCBITaxon_51238,plant,,,,,,,,
varanus,NCBITaxon_8556,other animal,,monitor lizard,,,,,,
vicugna,NCBITaxon_30539,other animal,,vicuna camelid,,,,,,
whale,FOODON_03411343,other aquatic animals,,,,,,,,
seal meat (raw),FOODON_03306461,other aquatic animals,,,,,,,,
frog,FOODON_03411252,other aquatic animals,,,,,,,,
sheep meat food product,FOODON_00002236,other meat,,,,,,,,
horse meat food product,FOODON_00001952,other meat,,,,,,,,
