Term,Expansion,
Grecian nose,[BodyPart-OR-OrganicPart],
gullet,[BodyPart-OR-OrganicPart],
hackles,[BodyPart-OR-OrganicPart],
haemorrhoids,[BodyPart-OR-OrganicPart],
hand,[BodyPart-OR-OrganicPart],
handlebar moustache,[BodyPart-OR-OrganicPart],
hangnail,[BodyPart-OR-OrganicPart],
hindbrain,[BodyPart-OR-OrganicPart],
hindlimb,[BodyPart-OR-OrganicPart],
hip joint,[BodyPart-OR-OrganicPart],
hippocampus,[BodyPart-OR-OrganicPart],
hoof,[BodyPart-OR-OrganicPart],
humerus,[BodyPart-OR-OrganicPart],
hymen,[BodyPart-OR-OrganicPart],
hypothalamus,[BodyPart-OR-OrganicPart],
id,[BodyPart-OR-OrganicPart],
ileum,[BodyPart-OR-OrganicPart],
incisor,[BodyPart-OR-OrganicPart],
index finger,[BodyPart-OR-OrganicPart],
inner ear,[BodyPart-OR-OrganicPart],
inseam,[BodyPart-OR-OrganicPart],
intestine,[BodyPart-OR-OrganicPart],
jacksie,[BodyPart-OR-OrganicPart],
jawbone,[BodyPart-OR-OrganicPart],
jejunum,[BodyPart-OR-OrganicPart],
jism,[BodyPart-OR-OrganicPart],
joint,[BodyPart-OR-OrganicPart],
jowl,[BodyPart-OR-OrganicPart],
jugular,[BodyPart-OR-OrganicPart],
killer cell,[BodyPart-OR-OrganicPart],
kneecap,[BodyPart-OR-OrganicPart],
knock knees,[BodyPart-OR-OrganicPart],
lantern jaw,[BodyPart-OR-OrganicPart],
lazy eye,[BodyPart-OR-OrganicPart],
left brain,[BodyPart-OR-OrganicPart],
leucocyte,[BodyPart-OR-OrganicPart],
ligament,[BodyPart-OR-OrganicPart],
limbic system,[BodyPart-OR-OrganicPart],
little finger,[BodyPart-OR-OrganicPart],
lop ears,[BodyPart-OR-OrganicPart],
love bite,[BodyPart-OR-OrganicPart],
love handles,[BodyPart-OR-OrganicPart],
lughole,[BodyPart-OR-OrganicPart],
lung,[BodyPart-OR-OrganicPart],
lymphnode,[BodyPart-OR-OrganicPart],
lymphocyte,[BodyPart-OR-OrganicPart],
macrophage,[BodyPart-OR-OrganicPart],
marrowbone,[BodyPart-OR-OrganicPart],
maxilla,[BodyPart-OR-OrganicPart],
meiosis,[BodyPart-OR-OrganicPart],
meninges,[BodyPart-OR-OrganicPart],
metacarpal,[BodyPart-OR-OrganicPart],
metatarsal,[BodyPart-OR-OrganicPart],
midbrain,[BodyPart-OR-OrganicPart],
middle age spread,[BodyPart-OR-OrganicPart],
middle ear,[BodyPart-OR-OrganicPart],
middle finger,[BodyPart-OR-OrganicPart],
milk tooth,[BodyPart-OR-OrganicPart],
molar,[BodyPart-OR-OrganicPart],
monocyte,[BodyPart-OR-OrganicPart],
mons pubis,[BodyPart-OR-OrganicPart],
motoneuron,[BodyPart-OR-OrganicPart],
motor neuron,[BodyPart-OR-OrganicPart],
mouth ulcer,[BodyPart-OR-OrganicPart],
mucous membrane,[BodyPart-OR-OrganicPart],
musculature,[BodyPart-OR-OrganicPart],
musquash,[BodyPart-OR-OrganicPart],
myelin,[BodyPart-OR-OrganicPart],
nape,[BodyPart-OR-OrganicPart],
neocortex,[BodyPart-OR-OrganicPart],
occipital bone,[BodyPart-OR-OrganicPart],
oesophagus,[BodyPart-OR-OrganicPart],
oviduct,[BodyPart-OR-OrganicPart],
ovum,[BodyPart-OR-OrganicPart],
oxter,[BodyPart-OR-OrganicPart],
pancreas,[BodyPart-OR-OrganicPart],
parson's nose,[BodyPart-OR-OrganicPart],
pastern,[BodyPart-OR-OrganicPart],
pate,[BodyPart-OR-OrganicPart],
patella,[BodyPart-OR-OrganicPart],
paunch,[BodyPart-OR-OrganicPart],
pecker,[BodyPart-OR-OrganicPart],
pectoral,[BodyPart-OR-OrganicPart],
peg leg,[BodyPart-OR-OrganicPart],
pelvic floor,[BodyPart-OR-OrganicPart],
pelvis,[BodyPart-OR-OrganicPart],
penis,[BodyPart-OR-OrganicPart],
peritoneum,[BodyPart-OR-OrganicPart],
phagocyte,[BodyPart-OR-OrganicPart],
pharynx,[BodyPart-OR-OrganicPart],
photoreceptor,[BodyPart-OR-OrganicPart],
piles,[BodyPart-OR-OrganicPart],
pineal,[BodyPart-OR-OrganicPart],
pinky,[BodyPart-OR-OrganicPart],
pituitary,[BodyPart-OR-OrganicPart],
placenta,[BodyPart-OR-OrganicPart],
platelet,[BodyPart-OR-OrganicPart],
pleura,[BodyPart-OR-OrganicPart],
plumage,[BodyPart-OR-OrganicPart],
pope's nose,[BodyPart-OR-OrganicPart],
pork scratchings,[BodyPart-OR-OrganicPart],
port wine stain,[BodyPart-OR-OrganicPart],
portal vein,[BodyPart-OR-OrganicPart],
prepuce,[BodyPart-OR-OrganicPart],
private parts,[BodyPart-OR-OrganicPart],
prostate,[BodyPart-OR-OrganicPart],
pube,[BodyPart-OR-OrganicPart],
pubis,[BodyPart-OR-OrganicPart],
pudenda,[BodyPart-OR-OrganicPart],
puppy fat,[BodyPart-OR-OrganicPart],
quadriceps,[BodyPart-OR-OrganicPart],
quick,[BodyPart-OR-OrganicPart],
quim,[BodyPart-OR-OrganicPart],
rectum,[BodyPart-OR-OrganicPart],
red blood cell,[BodyPart-OR-OrganicPart],
red cell,[BodyPart-OR-OrganicPart],
retina,[BodyPart-OR-OrganicPart],
right brain,[BodyPart-OR-OrganicPart],
ring finger,[BodyPart-OR-OrganicPart],
Roman nose,[BodyPart-OR-OrganicPart],
sacrum,[BodyPart-OR-OrganicPart],
saliva,[BodyPart-OR-OrganicPart],
scapula,[BodyPart-OR-OrganicPart],
semen,[BodyPart-OR-OrganicPart],
shell like,[BodyPart-OR-OrganicPart],
shin,[BodyPart-OR-OrganicPart],
shin bone,[BodyPart-OR-OrganicPart],
shiner,[BodyPart-OR-OrganicPart],
shortening,[BodyPart-OR-OrganicPart],
shoulder blade,[BodyPart-OR-OrganicPart],
sinus,[BodyPart-OR-OrganicPart],
sloe eyes,[BodyPart-OR-OrganicPart],
smooth muscle,[BodyPart-OR-OrganicPart],
snaggle tooth,[BodyPart-OR-OrganicPart],
spermatozoon,[BodyPart-OR-OrganicPart],
sphincter,[BodyPart-OR-OrganicPart],
spinal column,[BodyPart-OR-OrganicPart],
spinal cord,[BodyPart-OR-OrganicPart],
splay foot,[BodyPart-OR-OrganicPart],
split end,[BodyPart-OR-OrganicPart],
spore,[BodyPart-OR-OrganicPart],
stem cell,[BodyPart-OR-OrganicPart],
sternum,[BodyPart-OR-OrganicPart],
stigmata,[BodyPart-OR-OrganicPart],
stretch marks,[BodyPart-OR-OrganicPart],
subconscious,[BodyPart-OR-OrganicPart],
suet,[BodyPart-OR-OrganicPart],
superego,[BodyPart-OR-OrganicPart],
sweetbread,[BodyPart-OR-OrganicPart],
tailbone,[BodyPart-OR-OrganicPart],
tallow,[BodyPart-OR-OrganicPart],
talon,[BodyPart-OR-OrganicPart],
tarsal,[BodyPart-OR-OrganicPart],
tear duct,[BodyPart-OR-OrganicPart],
tendon,[BodyPart-OR-OrganicPart],
tensor,[BodyPart-OR-OrganicPart],
testicle,[BodyPart-OR-OrganicPart],
testis,[BodyPart-OR-OrganicPart],
thigh bone,[BodyPart-OR-OrganicPart],
thorax,[BodyPart-OR-OrganicPart],
thread vein,[BodyPart-OR-OrganicPart],
thymus,[BodyPart-OR-OrganicPart],
thyroid,[BodyPart-OR-OrganicPart],
tibia,[BodyPart-OR-OrganicPart],
titty,[BodyPart-OR-OrganicPart],
todger,[BodyPart-OR-OrganicPart],
toenail,[BodyPart-OR-OrganicPart],
tonsil,[BodyPart-OR-OrganicPart],
tonsure,[BodyPart-OR-OrganicPart],
toothbrush moustache,[BodyPart-OR-OrganicPart],
tootsies,[BodyPart-OR-OrganicPart],
trachea,[BodyPart-OR-OrganicPart],
triceps,[BodyPart-OR-OrganicPart],
tum,[BodyPart-OR-OrganicPart],
tummy,[BodyPart-OR-OrganicPart],
tumour,[BodyPart-OR-OrganicPart],
tusk,[BodyPart-OR-OrganicPart],
tympanum,[BodyPart-OR-OrganicPart],
udder,[BodyPart-OR-OrganicPart],
ulna,[BodyPart-OR-OrganicPart],
umbilical cord,[BodyPart-OR-OrganicPart],
unconscious,[BodyPart-OR-OrganicPart],
urethra,[BodyPart-OR-OrganicPart],
uterus,[BodyPart-OR-OrganicPart],
uvula,[BodyPart-OR-OrganicPart],
vagina,[BodyPart-OR-OrganicPart],
varicose vein,[BodyPart-OR-OrganicPart],
vas deferens,[BodyPart-OR-OrganicPart],
velum,[BodyPart-OR-OrganicPart],
vena cava,[BodyPart-OR-OrganicPart],
vertebra,[BodyPart-OR-OrganicPart],
visage,[BodyPart-OR-OrganicPart],
viscera,[BodyPart-OR-OrganicPart],
vitals,[BodyPart-OR-OrganicPart],
vocal cords,[BodyPart-OR-OrganicPart],
vulva,[BodyPart-OR-OrganicPart],
walrus moustache,[BodyPart-OR-OrganicPart],
wazoo,[BodyPart-OR-OrganicPart],
weal,[BodyPart-OR-OrganicPart],
wedding tackle,[BodyPart-OR-OrganicPart],
welt,[BodyPart-OR-OrganicPart],
Wernicke's area,[BodyPart-OR-OrganicPart],
wetware,[BodyPart-OR-OrganicPart],
white blood cell,[BodyPart-OR-OrganicPart],
willie,[BodyPart-OR-OrganicPart],
willy,[BodyPart-OR-OrganicPart],
wimple,[BodyPart-OR-OrganicPart],
windpipe,[BodyPart-OR-OrganicPart],
wisdom tooth,[BodyPart-OR-OrganicPart],
wishbone,[BodyPart-OR-OrganicPart],
withers,[BodyPart-OR-OrganicPart],
withers,[BodyPart-OR-OrganicPart],
womb,[BodyPart-OR-OrganicPart],
wrist,[BodyPart-OR-OrganicPart],
zygote,[BodyPart-OR-OrganicPart],
1000th,[Cardinal-Ordinal],
